tile_id,layer,sample_count,file_exists,record_exists,local_path,action
50N_030E,lossyear,2,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\50N_030E.tif,skip_cached
50N_040E,lossyear,6,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\50N_040E.tif,skip_cached
50N_100E,lossyear,1,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\50N_100E.tif,downloaded
50N_120E,lossyear,14,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\50N_120E.tif,downloaded
50N_130E,lossyear,24,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\50N_130E.tif,downloaded
50N_140E,lossyear,6,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\50N_140E.tif,skip_cached
60N_020E,lossyear,6,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_020E.tif,downloaded
60N_030E,lossyear,51,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_030E.tif,skip_cached
60N_040E,lossyear,73,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_040E.tif,skip_cached
60N_050E,lossyear,60,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_050E.tif,skip_cached
60N_060E,lossyear,45,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_060E.tif,skip_cached
60N_070E,lossyear,20,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_070E.tif,downloaded
60N_080E,lossyear,83,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_080E.tif,downloaded
60N_090E,lossyear,69,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_090E.tif,downloaded
60N_100E,lossyear,93,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_100E.tif,downloaded
60N_110E,lossyear,71,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_110E.tif,skip_cached
60N_120E,lossyear,52,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_120E.tif,downloaded
60N_130E,lossyear,37,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_130E.tif,skip_cached
60N_140E,lossyear,3,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_140E.tif,skip_cached
60N_150E,lossyear,24,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_150E.tif,downloaded
60N_160E,lossyear,1,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\60N_160E.tif,downloaded
70N_020E,lossyear,8,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_020E.tif,downloaded
70N_030E,lossyear,26,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_030E.tif,downloaded
70N_040E,lossyear,26,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_040E.tif,downloaded
70N_050E,lossyear,31,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_050E.tif,downloaded
70N_060E,lossyear,22,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_060E.tif,downloaded
70N_070E,lossyear,25,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_070E.tif,downloaded
70N_080E,lossyear,22,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_080E.tif,downloaded
70N_090E,lossyear,15,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_090E.tif,downloaded
70N_100E,lossyear,19,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_100E.tif,downloaded
70N_110E,lossyear,28,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_110E.tif,downloaded
70N_120E,lossyear,44,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_120E.tif,downloaded
70N_130E,lossyear,25,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_130E.tif,downloaded
70N_140E,lossyear,31,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_140E.tif,skip_cached
70N_150E,lossyear,24,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_150E.tif,downloaded
70N_160E,lossyear,30,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_160E.tif,downloaded
70N_170E,lossyear,6,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_170E.tif,downloaded
70N_180W,lossyear,1,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\70N_180W.tif,downloaded
80N_090E,lossyear,7,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\80N_090E.tif,downloaded
80N_100E,lossyear,10,True,True,C:\Users\Hp\OneDrive\Рабочий стол\учёба\ML\ML-SbPSTU-2026\Scripts\ResearchTool\Data\cache\forest\hansen\GFC-2025-v1.13\lossyear\80N_100E.tif,downloaded
