Source_File,Source_Format,ID,Latitude,Longitude,Driver_primary_code,Driver_primary,Confidence_primary,Driver_secondary,Confidence_secondary,Region,Region_code,Tags,Notes,Country_Filter,Country_Filter_Source,Active_learning,Noise
training_2001_2025_v1_3.csv,csv,3118,49.954996894929614,37.83499978275255,5,Wildfire,Medium,Logging,High,Europe,3,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,3162,53.73499910930797,31.525001666830796,4,Logging,High,,Not applicable,Europe,3,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,3174,54.27500072177177,21.10500106575032,4,Logging,High,,Not applicable,Europe,3,Not applicable,logging,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,3194,55.07499912717083,22.354998581387697,4,Logging,High,,Not applicable,Europe,3,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,3463,54.69500119782191,20.32499955587297,6,Settlements & infrastructure,High,Commodity-driven deforestation,High,Europe,3,Energy,Industrial plant; power lines,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,3600,54.6049987241561,20.485001000142493,5,Wildfire,Low,,Not applicable,Europe,3,Not applicable,"There's a significant gap in the high res timeseries imagery. Difficult to tell what happened circa 2010, but does appear as though wildfire could be driver",Russia,built_in_approx_russia_geometry,1,
training_2001_2025_v1_3.csv,csv,3675,62.98500059641486,31.244999136007465,2,Hard commodities,High,,Not applicable,Europe,3,Mining,,Russia,built_in_approx_russia_geometry,1,
training_2001_2025_v1_3.csv,csv,3691,68.62500082058233,28.21499981981319,4,Logging,High,,Not applicable,Europe,3,Not applicable,,Russia,built_in_approx_russia_geometry,1,
training_2001_2025_v1_3.csv,csv,3726,67.7849998581102,28.86500074031399,4,Logging,High,,Not applicable,Europe,3,Not applicable,,Russia,built_in_approx_russia_geometry,1,
training_2001_2025_v1_3.csv,csv,3728,67.82500024061537,29.06500032534657,4,Logging,High,,Not applicable,Europe,3,Not applicable,,Russia,built_in_approx_russia_geometry,1,
training_2001_2025_v1_3.csv,csv,5281,58.25500031578706,86.03499936062542,4,Logging,Medium,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5282,57.614998916730066,57.16499993560383,4,Logging,High,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5301,53.76499993757662,101.1649989943129,4,Logging,High,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5306,50.3150001767446,136.30500060376022,4,Logging,High,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5310,56.21499949466637,48.12499971666332,4,Logging,Medium,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5316,60.274999818841934,44.45500126549116,4,Logging,High,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5319,56.24500034074871,134.95499883130643,5,Wildfire,High,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5347,55.264999179798735,101.16500124829236,4,Logging,High,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5350,53.89500060002054,82.37500041728711,4,Logging,Medium,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5375,57.834999821792,33.15499930838282,7,Other natural disturbances,Medium,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5391,55.50499913611947,128.5050005376442,5,Wildfire,High,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5396,58.86500083432087,30.925000650322467,1,Permanent agriculture,Low,,Not applicable,Asia,5,Agriculture,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5410,51.12499812402781,112.00500232478684,5,Wildfire,High,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5426,58.73500020582215,131.88499917206653,5,Wildfire,High,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5427,53.10499951002016,118.9650013800897,5,Wildfire,Low,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5446,56.90499859396286,32.505000611706365,4,Logging,High,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
training_2001_2025_v1_3.csv,csv,5455,62.91499942184926,61.054999342349106,5,Wildfire,High,,Not applicable,Asia,5,Not applicable,,Russia,built_in_approx_russia_geometry,0,
